ID;SENSOR;YEAR;MONTH;DAY;DATE;JULIAN;COUNT;NA;SUM;MEAN;MAX;MIN;MEDIAN;RANGE;VAR_S; SD_M ;9003;9009;10262;11118;11147;11155;16261;16338;16351;16381;16404;16426;16460
LC08_199034_20170308;LC08;2017;3;8;08/03/2017;66;12;1;6,727327049;0,560610587;0,785905421;0,383838385;0,57398656;0,402067035;0,011322169;0,106405679;0,785905421;0,634398043;0,475169301;0,47485441;0,597585499;0,383838385;0,481518477;0,550387621;;0,599835634;0,609495521;0,640303373;0,494035363
LC08_199034_20170324;LC08;2017;3;24;24/03/2017;82;2;11;1,597144485;0,798572242;0,900650501;0,696493983;0,798572242;0,204156518;0,020839942;0,144360458;0,900650501;0,696493983;;;;;;;;;;;
LC08_199034_20170409;LC08;2017;4;9;09/04/2017;98;11;2;5,517493606;0,501590328;0,75583607;0,360000014;0,504974127;0,395836055;0,014175924;0,119062688;0,75583607;;0,381049216;0,427272737;0,531096876;0,360000014;;0,504974127;0,385149807;0,586342216;0,53956151;0,603809536;0,442401499
LC08_199034_20170425;LC08;2017;4;25;25/04/2017;114;6;7;3,417757809;0,569626302;0,786744714;0,333333343;0,551588416;0,453411371;0,034217159;0,184978808;0,778755486;0,786744714;;0,415747434;0,556414247;0,333333343;;;;;;0,546762586;
LC08_199034_20170511;LC08;2017;5;11;11/05/2017;130;4;9;1,56882;0,392205;0,531791925;0,257050753;0,389988661;0,274741173;0,021783056;0,147590841;;;;;0,27254045;;0,257050753;;;;0,507436872;0,531791925;
LC08_199034_20170527;LC08;2017;5;27;27/05/2017;146;11;2;4,921893358;0,447444851;0,562343121;0,340922356;0,421956688;0,221420765;0,005188821;0,072033468;;;0,404903919;0,370161861;0,501704395;0,340922356;0,421956688;0,494661927;0,403268725;0,544781625;0,471391648;0,562343121;0,405797094
LC08_199034_20170612;LC08;2017;6;12;12/06/2017;162;13;0;6,720562398;0,516966338;0,749584019;0,417730033;0,478165925;0,331853986;0,009298813;0,096430351;0,593585134;0,749584019;0,417730033;0,423781663;0,567239642;0,445128769;0,423639774;0,518775046;0,462595433;0,579140663;0,478165925;0,593736768;0,46745953
LC08_199034_20170628;LC08;2017;6;28;28/06/2017;178;13;0;6,601394445;0,507799573;0,696357071;0,302660763;0,508499622;0,393696308;0,011082647;0,105274153;0,569073796;0,696357071;0,432192653;0,389818698;0,522031844;0,302660763;0,467225611;0,526941895;0,508499622;0,617052019;0,499088585;0,625318587;0,445133299
LC08_199034_20170714;LC08;2017;7;14;14/07/2017;194;12;1;5,797943234;0,483161936;0,611946225;0,287311345;0,491312265;0,32463488;0,008964534;0,094681224;0,493865669;0,611946225;;0,350525945;0,488758862;0,287311345;0,435364038;0,497543871;0,515068471;0,58271867;0,487760335;0,591458499;0,455621302
LC08_199034_20170730;LC08;2017;7;30;30/07/2017;210;13;0;6,613001198;0,5086924;0,60633862;0,380710661;0,51886791;0,225627959;0,006418807;0,080117457;0,604646087;0,60633862;0,406755805;0,402864486;0,533009052;0,380710661;0,444739848;0,51886791;0,564429522;0,579505324;0,485066175;0,59042114;0,495646566
